,,Sales Mix Report,,,,,
"CUP O NDLES CKN 2.25,  Each",$1.29 ,5,$6.45 ,0.00%,$0.00 ,$0.00 ,$6.45 
"CUP O NDLES SHRMP 2.25,  Each",$1.29 ,2,$2.58 ,0.00%,$0.00 ,$0.00 ,$2.58 
"KRFT EZ MAC CUP ORG 2.5,  Each",$1.59 ,2,$3.18 ,0.00%,$0.00 ,$0.00 ,$3.18 
"NONG SHIM HOT&SOUR BOWL 3,  Each",$1.99 ,6,$11.94 ,0.00%,$0.00 ,$0.00 ,$11.94 
"NONG SHIM KIM CHE BWL 3,  Each",$1.99 ,3,$5.97 ,0.00%,$0.00 ,$0.00 ,$5.97 
"SHIN BWL NDL SPCY CHK SS,  Each",$1.99 ,5,$9.95 ,0.00%,$0.00 ,$0.00 ,$9.95 
"SHIN INST BWL NDL HT&SPCY,  Each",$1.99 ,2,$3.98 ,0.00%,$0.00 ,$0.00 ,$3.98 
"TAPATIO RAMEN BEEF 3.7Z,  Each",$2.19 ,3,$6.57 ,0.00%,$0.00 ,$0.00 ,$6.57 
"TAPATIO RAMEN CHKN 3.7Z,  Each",$2.19 ,4,$8.76 ,0.00%,$0.00 ,$0.00 ,$8.76 
"TAPATIO RAMEN ORG 3.7Z,  Each",$2.19 ,2,$4.38 ,0.00%,$0.00 ,$0.00 ,$4.38 
"TAPATIO RAMEN SHRMP 3.7Z,  Each",$2.19 ,6,$13.14 ,0.00%,$0.00 ,$0.00 ,$13.14 
"TOP RAMEN BEEF 3,  Each",$1.29 ,1,$1.29 ,0.00%,$0.00 ,$0.00 ,$1.29 
"TOP RAMEN BWL SHRMP 3.28Z,  Each",$1.99 ,6,$11.94 ,0.00%,$0.00 ,$0.00 ,$11.94 
"TOP RAMEN BWL SY SC 3.17Z,  Each",$1.99 ,1,$1.99 ,0.00%,$0.00 ,$0.00 ,$1.99 
NOODLES Subtotal, ,52,$97.28 ,0.03%,$0.00 ,$0.00 ,$97.28 
NUT BASED SPREADS, , , , , , , 
"JIF CREAMY PNT BTR SS 16Z,  Each",$3.99 ,1,$3.99 ,0.00%,$0.00 ,$0.00 ,$3.99 
NUT BASED SPREADS Subtotal, ,1,$3.99 ,0.00%,$0.00 ,$0.00 ,$3.99 
OTHER PACKAGED COFFEE/TEA MIXES, , , , , , , 
"CLASSIC ROAST CAN 11.3,  Each",$6.19 ,2,$12.38 ,0.00%,$0.00 ,$0.00 ,$12.38 
OTHER PACKAGED COFFEE/TEA MIXES Subtotal, ,2,$12.38 ,0.00%,$0.00 ,$0.00 ,$12.38 
PICKLE/RELISH/SALSA/CHUTNEY/OLIVE, , , , , , , 
"TOSTITOS MEDIUM SALSA 15.0Z,  Each",$3.99 ,2,$7.98 ,0.00%,$0.00 ,$0.00 ,$7.98 
PICKLE/RELISH/SALSA/CHUTNEY/OLIVE Subtotal, ,2,$7.98 ,0.00%,$0.00 ,$0.00 ,$7.98 
SOUPS/STEWS/CHILI, , , , , , , 
"CMPBL BWL CHKSLBG VG 15.25Z,  Each",$3.69 ,1,$3.69 ,0.00%,$0.00 ,$0.00 ,$3.69 
"CMPBL BWL CHNK RDHS CHL 15.25Z,  Each",$3.69 ,2,$7.38 ,0.00%,$0.00 ,$0.00 ,$7.38 
"CMPBL WY BTR SWTPOT 11.1Z,  Each",$2.59 ,2,$5.18 ,0.00%,$0.00 ,$0.00 ,$5.18 
"CMPBL WY RD PEP&TMT 11Z,  Each",$2.59 ,4,$10.36 ,0.00%,$0.00 ,$0.00 ,$10.36 
SOUPS/STEWS/CHILI Subtotal, ,9,$26.61 ,0.01%,$0.00 ,$0.00 ,$26.61 
SHELF STABLE GROCERY Subtotal, ,124,$260.46 ,0.09%,$0.00 ,$0.00 ,$260.46 
SNACKS, , , , , , , 
CAKES, , , , , , , 
"BAP CHEESE COFFEE CAKE 4Z,  Each",$2.29 ,4,$9.16 ,0.00%,$0.00 ,$0.00 ,$9.16 
"BAP FRENCH SWTIE CNCHA 5Z,  Each",$2.29 ,20,$45.80 ,0.02%,$0.00 ,$0.00 ,$45.80 
"BAP MARBLE CAKE 4Z,  Each",$2.29 ,11,$25.19 ,0.01%,$0.00 ,$0.00 ,$25.19 
"BAP SL BANANA NUT CAKE 4Z,  Each",$2.29 ,10,$22.90 ,0.01%,$0.00 ,$0.00 ,$22.90 
"BAP SL CHEESE CAKE 4Z,  Each",$2.29 ,13,$29.77 ,0.01%,$0.00 ,$0.00 ,$29.77 
"BAP SL LEMON CAKE 4Z,  Each",$2.29 ,3,$6.87 ,0.00%,$0.00 ,$0.00 ,$6.87 
"BAP SL POUND CAKE 4Z,  Each",$2.29 ,4,$9.16 ,0.00%,$0.00 ,$0.00 ,$9.16 
"HOST BIRTHDAY CPCK 3.27Z,  Each",$2.09 ,5,$10.45 ,0.00%,$0.00 ,$0.00 ,$10.45 
"HOST CHC CPCK 3.17Z,  Each",$2.09 ,16,$33.44 ,0.01%,$0.00 ,$0.00 ,$33.44 
"HOST CHC DNG DNG 2.55Z,  Each",$2.09 ,11,$22.99 ,0.01%,$0.00 ,$0.00 ,$22.99 
"HOST COF CK 2.89Z,  Each",$2.09 ,2,$4.18 ,0.00%,$0.00 ,$0.00 ,$4.18 
"HOST COFFEE CAKE 2.89Z,  Each",$2.09 ,9,$18.81 ,0.01%,$0.00 ,$0.00 ,$18.81 
"HOST DDNG WT FDG 2.55Z,  Each",$2.09 ,2,$4.18 ,0.00%,$0.00 ,$0.00 ,$4.18 
"HOST HO HO 3Z,  Each",$2.09 ,7,$14.63 ,0.01%,$0.00 ,$0.00 ,$14.63 
"HOST ORNG CPCK 3.38Z,  Each",$2.09 ,5,$10.45 ,0.00%,$0.00 ,$0.00 ,$10.45 
"HOST SNBL 3.50Z,  Each",$2.09 ,3,$6.27 ,0.00%,$0.00 ,$0.00 ,$6.27 
"HOST SUZY Q 5.19Z,  Each",$2.09 ,2,$4.18 ,0.00%,$0.00 ,$0.00 ,$4.18 
"HOST TWINKIES 2.70Z,  Each",$2.09 ,11,$22.99 ,0.01%,$0.00 ,$0.00 ,$22.99 
"HOST ZNGR CHC 3.81Z,  Each",$2.09 ,11,$22.99 ,0.01%,$0.00 ,$0.00 ,$22.99 
"HOST ZNGR VAN 3.81Z,  Each",$2.09 ,4,$8.36 ,0.00%,$0.00 ,$0.00 ,$8.36 
CAKES Subtotal, ,153,$332.77 ,0.12%,$0.00 ,$0.00 ,$332.77 
COOKIES/BISCUITS (SNACKS), , , , , , , 
"CHIPS AHOY BB 3Z,  Each",$1.59 ,4,$6.36 ,0.00%,$0.00 ,$0.00 ,$6.36 
"CHIPS AHOY BB CHWY 3Z,  Each",$1.59 ,8,$12.72 ,0.00%,$0.00 ,$0.00 ,$12.72 
"FAMOUS AMS CHOC CP 3,  Each",$1.59 ,9,$14.31 ,0.01%,$0.00 ,$0.00 ,$14.31 
"GRANDMA BIG CHCBRWN 2.87Z,  Each",$1.09 ,16,$17.44 ,0.01%,$0.00 ,$0.00 ,$17.44 
"GRANDMA BIG CHCP CK 2.87Z,  Each",$1.09 ,25,$27.25 ,0.01%,$0.00 ,$0.00 ,$27.25 
"GRANDMA BIG OTML CK 2.87Z,  Each",$1.09 ,17,$18.53 ,0.01%,$0.00 ,$0.00 ,$18.53 
"GRANDMA BIG PB CKIE 2.87Z,  Each",$1.09 ,15,$16.35 ,0.01%,$0.00 ,$0.00 ,$16.35 
"GRANDMA VAN CRM 3.24Z,  Each",$1.09 ,2,$2.18 ,0.00%,$0.00 ,$0.00 ,$2.18 
"HOST PB WFR 3Z,  Each",$2.09 ,3,$6.27 ,0.00%,$0.00 ,$0.00 ,$6.27 
"KBLR SGR WFR VANILLA 2.75,  Each",$1.09 ,1,$1.09 ,0.00%,$0.00 ,$0.00 ,$1.09 
"LEN&LAR CHC CHP 1.25Z,  Each",$2.09 ,1,$2.09 ,0.00%,$0.00 ,$0.00 ,$2.09 
"LEN&LAR CHC CHP 4Z,  Each",$2.59 ,1,$2.59 ,0.00%,$0.00 ,$0.00 ,$2.59 
"LEN&LAR DBL CHC 1.25Z,  Each",$2.09 ,2,$4.18 ,0.00%,$0.00 ,$0.00 ,$4.18 
"LEN&LAR DBL CHOC 4OZ,  Each",$2.59 ,7,$18.13 ,0.01%,$2.36 ,$0.00 ,$15.77 
"LEN&LAR PB CHC CHP 4Z,  Each",$2.59 ,9,$23.31 ,0.01%,$2.36 ,$0.00 ,$20.95 
"LEN&LAR SALTED CARAMEL 4Z,  Each",$2.59 ,2,$5.18 ,0.00%,$0.59 ,$0.00 ,$4.59 
"LEN&LAR SNKRDDL 4Z,  Each",$2.59 ,5,$12.95 ,0.00%,$1.18 ,$0.00 ,$11.77 
"LEN&LAR WT CHC MAC 4Z,  Each",$2.59 ,4,$10.36 ,0.00%,$0.59 ,$0.00 ,$9.77 
"MARINELA BARRITAS STRW,  Each",$1.99 ,1,$1.99 ,0.00%,$0.00 ,$0.00 ,$1.99 
"MARINELA PRINCIPE CHOC EA,  Each",$1.79 ,16,$28.64 ,0.01%,$0.00 ,$0.00 ,$28.64 
"MRNLA NPLTN4.94Z,  Each",$1.69 ,2,$3.38 ,0.00%,$0.00 ,$0.00 ,$3.38 
"NUTTER BUTTER BTS 3Z,  Each",$1.59 ,8,$12.72 ,0.00%,$0.00 ,$0.00 ,$12.72 
"OREO MINI BB 3Z,  Each",$1.59 ,4,$6.36 ,0.00%,$0.00 ,$0.00 ,$6.36 
"PASTISETAS 2.64,  Each",$1.99 ,3,$5.97 ,0.00%,$0.00 ,$0.00 ,$5.97 
"QUEST CHC CHP CKIE 2.08Z,  Each",$2.99 ,3,$8.97 ,0.00%,$0.98 ,$0.00 ,$7.99 
COOKIES/BISCUITS (SNACKS) Subtotal, ,168,$269.32 ,0.09%,$8.06 ,$0.00 ,$261.26 
CRACKERS, , , , , , , 
"CHEEZ-IT CHDR JACK 7,  Each",$3.39 ,3,$10.17 ,0.00%,$0.00 ,$0.00 ,$10.17 
"CHEEZ-IT CHDR JCK 3Z,  Each",$1.59 ,1,$1.59 ,0.00%,$0.00 ,$0.00 ,$1.59 
"CHEEZ-IT GRV WH CHD 3.25Z,  Each",$2.39 ,7,$16.73 ,0.01%,$0.00 ,$0.00 ,$16.73 
"CHEEZ-IT ORIG 3Z,  Each",$1.59 ,8,$12.72 ,0.00%,$0.00 ,$0.00 ,$12.72 
"CHEEZ-IT ORIG 7,  Each",$3.39 ,7,$23.73 ,0.01%,$0.00 ,$0.00 ,$23.73 
"CHEEZ-IT WHT CHDR 3Z,  Each",$1.59 ,6,$9.54 ,0.00%,$0.00 ,$0.00 ,$9.54 
"CHEEZ-IT XTRA TOASTY 3Z,  Each",$1.59 ,11,$17.49 ,0.01%,$0.00 ,$0.00 ,$17.49 
"GOLDFISH CHDR CRKR 2.65Z,  Each",$1.49 ,4,$5.96 ,0.00%,$0.00 ,$0.00 ,$5.96 
"NAB RITZ CRKR SLT 3.47Z,  Each",$2.69 ,7,$18.83 ,0.01%,$0.00 ,$0.00 ,$18.83 
CRACKERS Subtotal, ,54,$116.76 ,0.04%,$0.00 ,$0.00 ,$116.76 
DANISHES, , , , , , , 
"BAP APPLE TRNVR DANISH 5Z,  Each",$2.29 ,22,$50.38 ,0.02%,$0.00 ,$0.00 ,$50.38 
"BAP BEAR CLAW DANISH 5Z,  Each",$2.29 ,42,$96.18 ,0.03%,$0.00 ,$0.00 ,$96.18 
"BAP BERRY CHS DANISH 5Z,  Each",$2.29 ,59,$135.11 ,0.05%,$0.00 ,$0.00 ,$135.11 
"BAP BLBRY CREAM DANISH 5Z,  Each",$2.29 ,37,$84.73 ,0.03%,$0.00 ,$0.00 ,$84.73 
"BAP CHS CROISNT DANISH 5Z,  Each",$2.29 ,36,$82.44 ,0.03%,$0.00 ,$0.00 ,$82.44 
DANISHES Subtotal, ,196,$448.84 ,0.16%,$0.00 ,$0.00 ,$448.84 
DONUTS, , , , , , , 
"BAP BRY&CRM DNT 8PK 4.5Z,  Each",$2.29 ,2,$4.58 ,0.00%,$0.00 ,$0.00 ,$4.58 
"BAP MINI CHOC DNT 8PK,  Each",$2.29 ,6,$13.74 ,0.00%,$0.00 ,$0.00 ,$13.74 
"BAP MINI CRMB DNT 8PK,  Each",$2.29 ,3,$6.87 ,0.00%,$0.00 ,$0.00 ,$6.87 
"BAP MINI POWD DNT 8PK,  Each",$2.29 ,2,$4.58 ,0.00%,$0.00 ,$0.00 ,$4.58 
"EM EG CINN SGR DNT 4Z,  Each",$2.09 ,28,$58.52 ,0.02%,$8.26 ,$0.00 ,$50.26 
"EM EG CRNCH CRMB DNT 4.5Z,  Each",$0.59 ,2,$1.18 ,0.00%,$0.00 ,$0.00 ,$1.18 
"EM EG CRNCH CRMB DNT 4.5Z,  Each",$2.09 ,38,$79.42 ,0.03%,$8.85 ,$0.00 ,$70.57 
"EM EG FRSTD CHC DNT 4Z,  Each",$2.09 ,37,$77.33 ,0.03%,$12.65 ,$0.00 ,$64.68 
"EM EG PWDRD SGR DNT 4Z,  Each",$2.09 ,11,$22.99 ,0.01%,$3.32 ,$0.00 ,$19.67 
"HOST CHC DVL GM DNT 3Z,  Each",$2.09 ,22,$45.98 ,0.02%,$0.00 ,$0.00 ,$45.98 
"HOST CHC MN DNT 3Z,  Each",$2.09 ,17,$35.53 ,0.01%,$0.00 ,$0.00 ,$35.53 
"HOST CHC MN DNT BG 11.25Z,  Each",$3.79 ,12,$45.48 ,0.02%,$0.00 ,$0.00 ,$45.48 
"HOST CRNCH MN DNT 3Z,  Each",$2.09 ,23,$48.07 ,0.02%,$0.00 ,$0.00 ,$48.07 
"HOST GLZD MN DNT 3.7Z,  Each",$2.09 ,15,$31.35 ,0.01%,$0.00 ,$0.00 ,$31.35 
"HOST PWD MN DNT 3Z,  Each",$2.09 ,17,$35.53 ,0.01%,$0.00 ,$0.00 ,$35.53 
"HOST PWD MN DNT BG 10.5Z,  Each",$3.79 ,6,$22.74 ,0.01%,$0.00 ,$0.00 ,$22.74 
DONUTS Subtotal, ,241,$533.89 ,0.19%,$33.08 ,$0.00 ,$500.81 
DRIED FRUIT, , , , , , , 
"BARE CINNAMON APPLE 3.4Z,  Each",$4.99 ,1,$4.99 ,0.00%,$0.00 ,$0.00 ,$4.99 
"BARE SIMPLY BANANA 2.7Z,  Each",$4.99 ,1,$4.99 ,0.00%,$0.00 ,$0.00 ,$4.99 
"SNK CLB BNNA CHP 5.5Z,  Each",$3.49 ,1,$3.49 ,0.00%,$0.00 ,$0.00 ,$3.49 
DRIED FRUIT Subtotal, ,3,$13.47 ,0.00%,$0.00 ,$0.00 ,$13.47 
ENERGY BARS, , , , , , , 
"CLIF BAR BLUEBERRY 2.4Z,  Each",$2.09 ,8,$16.72 ,0.01%,$0.00 ,$0.00 ,$16.72 
"CLIF BAR CHC CHP 2.4Z,  Each",$2.09 ,14,$29.26 ,0.01%,$0.00 ,$0.00 ,$29.26 
"CLIF BAR PNTBTR 2.4Z,  Each",$2.09 ,6,$12.54 ,0.00%,$0.00 ,$0.00 ,$12.54 
"CLIF BAR WHT CHC MAC 2.4Z,  Each",$2.09 ,9,$18.81 ,0.01%,$0.00 ,$0.00 ,$18.81 
"CLIF BLDRS CH MT 2.4Z,  Each",$2.59 ,2,$5.18 ,0.00%,$0.00 ,$0.00 ,$5.18 
"CLIF BLDRS PB 2.4Z,  Each",$2.59 ,2,$5.18 ,0.00%,$0.00 ,$0.00 ,$5.18 
"CLIF S&S CRML TFFE 2.4Z,  Each",$2.09 ,1,$2.09 ,0.00%,$0.00 ,$0.00 ,$2.09 
"DETOUR LN MSCL 12 3.2Z,  Each",$3.39 ,3,$10.17 ,0.00%,$0.00 ,$0.00 ,$10.17 
"GATR BR CHC CHP 2.82Z,  Each",$2.59 ,9,$23.31 ,0.01%,$0.00 ,$0.00 ,$23.31 
"GATR BR CHC CRML 2.8Z,  Each",$2.59 ,21,$54.39 ,0.02%,$0.00 ,$0.00 ,$54.39 
"KIND CAR ALM&SSLT1.4Z,  Each",$2.29 ,4,$9.16 ,0.00%,$0.00 ,$0.00 ,$9.16 
"KIND DRK CH&SSLT 1.4Z,  Each",$2.29 ,9,$20.61 ,0.01%,$0.00 ,$0.00 ,$20.61 
"KIND PRTN CRNC PB 1.76Z,  Each",$2.79 ,3,$8.37 ,0.00%,$0.00 ,$0.00 ,$8.37 
"KIND PRTN TST CRML 1.76Z,  Each",$2.79 ,3,$8.37 ,0.00%,$0.00 ,$0.00 ,$8.37 
"METRX CLSSL CKE CRC 3.52Z,  Each",$3.39 ,15,$50.85 ,0.02%,$0.00 ,$0.00 ,$50.85 
"ONE BDAY CAKE 2.12Z,  Each",$3.09 ,2,$6.18 ,0.00%,$0.00 ,$0.00 ,$6.18 
"ONE CHC CHP CKE DGH 2.12Z,  Each",$3.09 ,1,$3.09 ,0.00%,$0.00 ,$0.00 ,$3.09 
"ONE MPLE GLZD DNT 2.12Z,  Each",$3.09 ,2,$6.18 ,0.00%,$0.00 ,$0.00 ,$6.18 
"ONE PNT BTR CUP 2.12Z,  Each",$3.09 ,3,$9.27 ,0.00%,$0.00 ,$0.00 ,$9.27 
"PURE PRTN PB 2.75Z,  Each",$3.39 ,1,$3.39 ,0.00%,$0.00 ,$0.00 ,$3.39 
"PWRBR PRT PLS CH PB 2.12Z,  Each",$2.99 ,1,$2.99 ,0.00%,$0.00 ,$0.00 ,$2.99 
"PWRBR PRT PLS VAN 2.12Z,  Each",$2.99 ,3,$8.97 ,0.00%,$0.00 ,$0.00 ,$8.97 
"PWRCR FRN VAN CRM 1.4Z,  Each",$2.09 ,1,$2.09 ,0.00%,$0.00 ,$0.00 ,$2.09 
"QUEST BDAY CAKE 2.12Z,  Each",$3.29 ,1,$3.29 ,0.00%,$0.00 ,$0.00 ,$3.29 
"QUEST CH CHP CK DGH 2.12Z,  Each",$3.29 ,3,$9.87 ,0.00%,$0.00 ,$0.00 ,$9.87 
"QUEST CKIE N CRM 2.1Z,  Each",$3.29 ,1,$3.29 ,0.00%,$0.00 ,$0.00 ,$3.29 
"QUEST PB BRWNE SMSH 2.12Z,  Each",$3.29 ,1,$3.29 ,0.00%,$0.00 ,$0.00 ,$3.29 
"QUEST SMORES 2.12Z,  Each",$3.29 ,1,$3.29 ,0.00%,$0.00 ,$0.00 ,$3.29 
"RXBAR BLBRRY 1.83Z,  Each",$3.09 ,4,$12.36 ,0.00%,$0.00 ,$0.00 ,$12.36 
"RXBAR CHC SEA SLT 1.83Z,  Each",$3.09 ,1,$3.09 ,0.00%,$0.00 ,$0.00 ,$3.09 
"RXBAR PB & BERRIES 1.83Z,  Each",$3.09 ,3,$9.27 ,0.00%,$0.00 ,$0.00 ,$9.27 
"SP PNT BTTR CRUNCH BAR,  Each",$3.39 ,4,$13.56 ,0.00%,$0.00 ,$0.00 ,$13.56 
"SP PROTEIN BAR 3.4,  Each",$3.39 ,1,$3.39 ,0.00%,$0.00 ,$0.00 ,$3.39 
"TIGERS MILK PNTBTR 1.94,  Each",$1.59 ,27,$42.93 ,0.02%,$0.00 ,$0.00 ,$42.93 
"TIGERS MILK PRTN RICH 1.9,  Each",$1.59 ,28,$44.52 ,0.02%,$0.00 ,$0.00 ,$44.52 
ENERGY BARS Subtotal, ,198,$469.32 ,0.16%,$0.00 ,$0.00 ,$469.32 
EXTRUDED SNACKS, , , , , , , 
"BAKENETS HOT 3Z,  Each",$2.29 ,18,$41.22 ,0.01%,$0.00 ,$0.00 ,$41.22 
"BAKENETS REG 3Z,  Each",$2.29 ,7,$16.03 ,0.01%,$0.00 ,$0.00 ,$16.03 
"BUGLES NACHO CHS 3,  Each",$1.99 ,1,$1.99 ,0.00%,$0.00 ,$0.00 ,$1.99 
"BUGLES ORIG 3,  Each",$1.99 ,8,$15.92 ,0.01%,$0.00 ,$0.00 ,$15.92 
"BUGLES SWT & SLTY CR 3.5,  Each",$2.49 ,1,$2.49 ,0.00%,$0.00 ,$0.00 ,$2.49 
"CHEETOS CHDR JALA 3.25Z,  Each",$1.89 ,4,$7.56 ,0.00%,$0.00 ,$0.00 ,$7.56 
"CHEETOS CRNCH 8.5Z,  Each",$3.99 ,4,$15.96 ,0.01%,$0.00 ,$0.00 ,$15.96 
"CHEETOS CRNCH FLM HT 8.5Z,  Each",$3.99 ,6,$23.94 ,0.01%,$0.00 ,$0.00 ,$23.94 
"CHEETOS CRNCHY 3.25Z,  Each",$1.89 ,13,$24.57 ,0.01%,$0.00 ,$0.00 ,$24.57 
"CHEETOS FLM HT LMN 8.5Z,  Each",$3.99 ,9,$35.91 ,0.01%,$0.00 ,$0.00 ,$35.91 
"CHEETOS FLMN HT 3.25Z,  Each",$1.89 ,25,$47.25 ,0.02%,$0.00 ,$0.00 ,$47.25 
"CHEETOS FLMN JMB PUFFS 3Z,  Each",$1.89 ,5,$9.45 ,0.00%,$0.00 ,$0.00 ,$9.45 
"CHEETOS FS FLMHT STR1.25Z,  Each",$1.19 ,3,$3.57 ,0.00%,$0.00 ,$0.00 ,$3.57 
"CHEETOS HT LIMON 3.25Z,  Each",$1.89 ,7,$13.23 ,0.00%,$0.00 ,$0.00 ,$13.23 
"CHEETOS JMB PUFF 8Z,  Each",$3.99 ,5,$19.95 ,0.01%,$0.00 ,$0.00 ,$19.95 
"CHEETOS JMB PUFFS 3Z,  Each",$1.89 ,6,$11.34 ,0.00%,$0.00 ,$0.00 ,$11.34 
"CHEETOS NTRL WHITE  8Z,  Each",$3.99 ,8,$31.92 ,0.01%,$0.00 ,$0.00 ,$31.92 
"CHEETOS XXTRA FLNM 3.25Z,  Each",$1.89 ,3,$5.67 ,0.00%,$0.00 ,$0.00 ,$5.67 
"CHESTERS HOT FRIES 3.62Z,  Each",$1.89 ,12,$22.68 ,0.01%,$0.00 ,$0.00 ,$22.68 
"CHESTERS HOT FRIES 5.25Z,  Each",$2.29 ,6,$13.74 ,0.00%,$0.00 ,$0.00 ,$13.74 
"CHESTERS PUFF PPCRN 4.25Z,  Each",$2.29 ,1,$2.29 ,0.00%,$0.00 ,$0.00 ,$2.29 
"DORITOS FS FLMHT NCH1.75Z,  Each",$1.19 ,2,$2.38 ,0.00%,$0.00 ,$0.00 ,$2.38 
"DORITOS FS NCHS NTS 1.75Z,  Each",$1.19 ,1,$1.19 ,0.00%,$0.00 ,$0.00 ,$1.19 
"FUNYUNS HOT 2.12Z,  Each",$1.89 ,5,$9.45 ,0.00%,$0.00 ,$0.00 ,$9.45 
"FUNYUNS REG 2.12Z,  Each",$1.89 ,12,$22.68 ,0.01%,$0.00 ,$0.00 ,$22.68 
"FUNYUNS REG 6Z,  Each",$3.99 ,4,$15.96 ,0.01%,$0.00 ,$0.00 ,$15.96 
"HRVST SNP LT SLT 3.3Z,  Each",$2.69 ,6,$16.14 ,0.01%,$0.00 ,$0.00 ,$16.14 
"HRVST SNP WSB RNCH 3.3Z,  Each",$2.69 ,2,$5.38 ,0.00%,$0.00 ,$0.00 ,$5.38 
"PLANTERS CHEEZ BALLS2.75Z,  Each",$3.29 ,5,$16.45 ,0.01%,$0.00 ,$0.00 ,$16.45 
"SABRITONES 4Z,  Each",$2.29 ,21,$48.09 ,0.02%,$0.00 ,$0.00 ,$48.09 
"SIMPLY CHEETOS CWCHD2.62Z,  Each",$1.89 ,3,$5.67 ,0.00%,$0.00 ,$0.00 ,$5.67 
"SIMPLY CHEETOS WCHD 2.5Z,  Each",$1.89 ,5,$9.45 ,0.00%,$0.00 ,$0.00 ,$9.45 
EXTRUDED SNACKS Subtotal, ,218,$519.52 ,0.18%,$0.00 ,$0.00 ,$519.52 
FROZEN NOVELTIES, , , , , , , 
"NESTLE BTTRFNGR LD KG 4,  Each",$2.19 ,12,$26.28 ,0.01%,$0.00 ,$0.00 ,$26.28 
"NESTLE DIBS NESTLE CRUNCH,  Each",$3.09 ,23,$71.07 ,0.02%,$0.00 ,$0.00 ,$71.07 
"NESTLE DRMSTK SUP TRP CHO,  Each",$3.09 ,10,$30.90 ,0.01%,$0.00 ,$0.00 ,$30.90 
"NESTLE DRMSTK SUP VAN/CHO,  Each",$3.09 ,17,$52.53 ,0.02%,$0.00 ,$0.00 ,$52.53 
"NESTLE DRMSTK VRTY VANILA,  Each",$2.19 ,7,$15.33 ,0.01%,$0.00 ,$0.00 ,$15.33 
"NESTLE STRW SHRTCK BAR 4,  Each",$2.19 ,38,$83.22 ,0.03%,$0.00 ,$0.00 ,$83.22 
"SNICKERS ICE CRM BAR 2.8Z,  Each",$2.19 ,20,$43.80 ,0.02%,$0.00 ,$0.00 ,$43.80 
"TOLLHOUSE ICE CREAM SAND,  Each",$3.09 ,12,$37.08 ,0.01%,$0.00 ,$0.00 ,$37.08 
FROZEN NOVELTIES Subtotal, ,139,$360.21 ,0.13%,$0.00 ,$0.00 ,$360.21 
GRANOLA BARS, , , , , , , 
"NTR VLY GRANOLA OATS/HNY,  Each",$1.29 ,7,$9.03 ,0.00%,$0.00 ,$0.00 ,$9.03 
GRANOLA BARS Subtotal, ,7,$9.03 ,0.00%,$0.00 ,$0.00 ,$9.03 
ICE CREAM, , , , , , , 
"HGN DZ BUTTER PECAN 14OZ,  Each",$5.69 ,2,$11.38 ,0.00%,$0.00 ,$0.00 ,$11.38 
"HGN DZ CARAMEL CONE 14OZ,  Each",$5.69 ,5,$28.45 ,0.01%,$0.00 ,$0.00 ,$28.45 
"HGN DZ CFE/ALM CRUNCH 3Z,  Each",$3.09 ,22,$67.98 ,0.02%,$17.52 ,$0.00 ,$50.46 
"HGN DZ CHOC PEANUT BT 14OZ,  Each",$5.69 ,3,$17.07 ,0.01%,$0.00 ,$0.00 ,$17.07 
"HGN DZ COFFEE 14OZ,  Each",$5.69 ,4,$22.76 ,0.01%,$0.00 ,$0.00 ,$22.76 
"HGN DZ COOKIE DOUGH 14OZ,  Each",$5.69 ,6,$34.14 ,0.01%,$0.00 ,$0.00 ,$34.14 
"HGN DZ DULCE DE LECHE 14OZ,  Each",$5.69 ,5,$28.45 ,0.01%,$0.00 ,$0.00 ,$28.45 
"HGN DZ ROCKY ROAD 14OZ,  Each",$5.69 ,1,$5.69 ,0.00%,$0.00 ,$0.00 ,$5.69 
"HGN DZ STRAWBERRY 14OZ,  Each",$5.69 ,3,$17.07 ,0.01%,$0.00 ,$0.00 ,$17.07 
"HGN DZ VAN MILK CHOC ALM 3Z,  Each",$3.09 ,32,$98.88 ,0.03%,$19.71 ,$0.00 ,$79.17 
"HGN DZ VAN SWISS ALM 14OZ,  Each",$5.69 ,2,$11.38 ,0.00%,$0.00 ,$0.00 ,$11.38 
"HGN DZ VANILLA 14OZ,  Each",$5.69 ,6,$34.14 ,0.01%,$0.00 ,$0.00 ,$34.14 
"NESTLE CRUNCH BAR 3OZ,  Each",$1.69 ,11,$18.59 ,0.01%,$0.00 ,$0.00 ,$18.59 
"NESTLE IC SNDWCH VAN 6,  Each",$1.69 ,23,$38.87 ,0.01%,$0.00 ,$0.00 ,$38.87 
"NESTLE WONKA PSH UP 2.75Z,  Each",$1.19 ,20,$23.80 ,0.01%,$0.00 ,$1.19 ,$22.61 
"X_HGN DZ MINT CHIP PNT,  Each",$3.29 ,2,$6.58 ,0.00%,$0.00 ,$0.00 ,$6.58 
ICE CREAM Subtotal, ,147,$465.23 ,0.16%,$37.23 ,$1.19 ,$426.81 
MEAL REPLACEMENT BARS, , , , , , , 
"FT CRN PB 3.1Z,  Each",$3.09 ,3,$9.27 ,0.00%,$0.00 ,$0.00 ,$9.27 
"QUEST OAT CH CHP 2.12Z,  Each",$3.29 ,2,$6.58 ,0.00%,$0.00 ,$0.00 ,$6.58 
MEAL REPLACEMENT BARS Subtotal, ,5,$15.85 ,0.01%,$0.00 ,$0.00 ,$15.85 
MEAT SNACK, , , , , , , 
